Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
773,UNIDAD UCHR-R404-100,Naresa,Por revisar,,,
773,UNIDAD UCHR-R404-100,Equilinea,Por revisar,,,
785,VITRINA CREMERA TORREY DRD6 BLANCA R290,Naresa,Por revisar,,,
785,VITRINA CREMERA TORREY DRD6 BLANCA R290,Equilinea,Por revisar,,,
786,VITRINA CREMERA TORREY DRD3 BLANCA             ,Naresa,Por revisar,,,
786,VITRINA CREMERA TORREY DRD3 BLANCA             ,Equilinea,Por revisar,,,
787,VITRINA CREMERA TORREY DRD5 BLANCA R290,Naresa,Por revisar,,,
787,VITRINA CREMERA TORREY DRD5 BLANCA R290,Equilinea,Por revisar,,,
873,LICUADORA DE MESA 12 LITROS TORREY A.I.    ,Naresa,Por revisar,,,
873,LICUADORA DE MESA 12 LITROS TORREY A.I.    ,Equilinea,Por revisar,,,
875,LICUADORA DE PEDESTAL LP-12 TORREY A.I.     ,Naresa,Por revisar,,,
875,LICUADORA DE PEDESTAL LP-12 TORREY A.I.     ,Equilinea,Por revisar,,,
882,MOLINO P/CARNE TORREY M22R1 1HP         ,Naresa,Por revisar,,,
882,MOLINO P/CARNE TORREY M22R1 1HP         ,Equilinea,Por revisar,,,
883,MOLINO P/CARNE TORREY M22R2 2HP      ,Naresa,Por revisar,,,
883,MOLINO P/CARNE TORREY M22R2 2HP      ,Equilinea,Por revisar,,,
884,MOLINO P/CARNE TORREY M32 5HP TRIFÁSICO,Naresa,Por revisar,,,
884,MOLINO P/CARNE TORREY M32 5HP TRIFÁSICO,Equilinea,Por revisar,,,
885,MOLINO P/CARNE TORREY M32 3HP TRIFÁSICO    ,Naresa,Por revisar,,,
885,MOLINO P/CARNE TORREY M32 3HP TRIFÁSICO    ,Equilinea,Por revisar,,,
887,VITRINA CREMERA TORREY TEM-150 BLANCA R290   ,Naresa,Por revisar,,,
887,VITRINA CREMERA TORREY TEM-150 BLANCA R290   ,Equilinea,Por revisar,,,
888,VITRINA CREMERA TORREY TEM-100 NEGRA R290            ,Naresa,Por revisar,,,
888,VITRINA CREMERA TORREY TEM-100 NEGRA R290            ,Equilinea,Por revisar,,,
899,VITRINA CREMERA TORREY TEM-150 BLANCA LATERALES SOLIDOS,Naresa,Por revisar,,,
899,VITRINA CREMERA TORREY TEM-150 BLANCA LATERALES SOLIDOS,Equilinea,Por revisar,,,
916,"BASCULA TORREY 40 Kg, MFQ40      ",Naresa,Por revisar,,,
916,"BASCULA TORREY 40 Kg, MFQ40      ",Equilinea,Por revisar,,,
921,FABRICA DE HIELO TORREY MHC-230 C/DEPOSITO      ,Naresa,Por revisar,,,
921,FABRICA DE HIELO TORREY MHC-230 C/DEPOSITO      ,Equilinea,Por revisar,,,
922,FABRICA DE HIELO TORREY MHC-280 C/DEPOSITO  ,Naresa,Por revisar,,,
922,FABRICA DE HIELO TORREY MHC-280 C/DEPOSITO  ,Equilinea,Por revisar,,,
923,FABRICA DE HIELO TORREY MHC-320 C/DEPOSITO      ,Naresa,Por revisar,,,
923,FABRICA DE HIELO TORREY MHC-320 C/DEPOSITO      ,Equilinea,Por revisar,,,
924,FABRICA DE HIELO TORREY MHC-680 C/DEPOSITO,Naresa,Por revisar,,,
924,FABRICA DE HIELO TORREY MHC-680 C/DEPOSITO,Equilinea,Por revisar,,,
925,FABRICA DE HIELO TORREY MHC-975 C/DEP COND REMOTO,Naresa,Por revisar,,,
925,FABRICA DE HIELO TORREY MHC-975 C/DEP COND REMOTO,Equilinea,Por revisar,,,
926,FABRICA DE HIELO TORREY MHCD-100      ,Naresa,Por revisar,,,
926,FABRICA DE HIELO TORREY MHCD-100      ,Equilinea,Por revisar,,,
930,MOLINO P/CARNE JR MJ22 1 HP      ,Naresa,Por revisar,,,
930,MOLINO P/CARNE JR MJ22 1 HP      ,Equilinea,Por revisar,,,
933,CORTADORA DE POLLO TORREY CP-20                 ,Naresa,Por revisar,,,
